Name of Satellite,Country of Operator/Owner,Users,Contractor,Purpose,Class of Orbit
Starlink-4309 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4310 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4311 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4312 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4313 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4314 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4315 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4316,USA,Commercial,SpaceX,Communications,LEO
Starlink-4317 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4318 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4319 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4320 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4321 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4322 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4323 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4324 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4325 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4326 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4327 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4328 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4329 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4330 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4331 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4332 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4333 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4334,USA,Commercial,SpaceX,Communications,LEO
Starlink-4335 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4336 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4337 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4338 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4339 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4340,USA,Commercial,SpaceX,Communications,LEO
Starlink-4341 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4342 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4343 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4344 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4345 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4346 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4347 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4348 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4349 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4350 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4351 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4352 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4353 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4354 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4355 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4356 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4357,USA,Commercial,SpaceX,Communications,LEO
Starlink-4358 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4359  ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4360,USA,Commercial,SpaceX,Communications,LEO
Starlink-4361,USA,Commercial,SpaceX,Communications,LEO
Starlink-4362 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4363 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4364 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4365 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4366 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4367 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4368 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4369 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4370 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4371 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4372 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4373 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4374,USA,Commercial,SpaceX,Communications,LEO
Starlink-4375 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4376 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4377 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4378,USA,Commercial,SpaceX,Communications,LEO
Starlink-4379 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4380,USA,Commercial,SpaceX,Communications,LEO
Starlink-4381 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4382 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4383,USA,Commercial,SpaceX,Communications,LEO
Starlink-4384 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4385 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4386,USA,Commercial,SpaceX,Communications,LEO
Starlink-4387,USA,Commercial,SpaceX,Communications,LEO
Starlink-4388,USA,Commercial,SpaceX,Communications,LEO
Starlink-4389,USA,Commercial,SpaceX,Communications,LEO
Starlink-4390,USA,Commercial,SpaceX,Communications,LEO
Starlink-4391 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4392,USA,Commercial,SpaceX,Communications,LEO
Starlink-4393,USA,Commercial,SpaceX,Communications,LEO
Starlink-4394,USA,Commercial,SpaceX,Communications,LEO
Starlink-4395 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4396,USA,Commercial,SpaceX,Communications,LEO
Starlink-4397 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4398,USA,Commercial,SpaceX,Communications,LEO
Starlink-4399,USA,Commercial,SpaceX,Communications,LEO
Starlink-4400,USA,Commercial,SpaceX,Communications,LEO
Starlink-4401,USA,Commercial,SpaceX,Communications,LEO
Starlink-4402,USA,Commercial,SpaceX,Communications,LEO
Starlink-4403 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4404 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4405  ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4406,USA,Commercial,SpaceX,Communications,LEO
Starlink-4407 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4408 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4409 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4410 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4411 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4412,USA,Commercial,SpaceX,Communications,LEO
Starlink-4413 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4414 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4415,USA,Commercial,SpaceX,Communications,LEO
Starlink-4416 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4417 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4418,USA,Commercial,SpaceX,Communications,LEO
Starlink-4419 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4420,USA,Commercial,SpaceX,Communications,LEO
Starlink-4421,USA,Commercial,SpaceX,Communications,LEO
Starlink-4422,USA,Commercial,SpaceX,Communications,LEO
Starlink-4423 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4424,USA,Commercial,SpaceX,Communications,LEO
Starlink-4425 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4426,USA,Commercial,SpaceX,Communications,LEO
Starlink-4427 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4428,USA,Commercial,SpaceX,Communications,LEO
Starlink-4429,USA,Commercial,SpaceX,Communications,LEO
Starlink-4430,USA,Commercial,SpaceX,Communications,LEO
Starlink-4431,USA,Commercial,SpaceX,Communications,LEO
Starlink-4432,USA,Commercial,SpaceX,Communications,LEO
Starlink-4433,USA,Commercial,SpaceX,Communications,LEO
Starlink-4434,USA,Commercial,SpaceX,Communications,LEO
Starlink-4435,USA,Commercial,SpaceX,Communications,LEO
Starlink-4436,USA,Commercial,SpaceX,Communications,LEO
Starlink-4437,USA,Commercial,SpaceX,Communications,LEO
Starlink-4438,USA,Commercial,SpaceX,Communications,LEO
Starlink-4439,USA,Commercial,SpaceX,Communications,LEO
Starlink-4440,USA,Commercial,SpaceX,Communications,LEO
Starlink-4441,USA,Commercial,SpaceX,Communications,LEO
Starlink-4442,USA,Commercial,SpaceX,Communications,LEO
Starlink-4443,USA,Commercial,SpaceX,Communications,LEO
Starlink-4444,USA,Commercial,SpaceX,Communications,LEO
Starlink-4445,USA,Commercial,SpaceX,Communications,LEO
Starlink-4446,USA,Commercial,SpaceX,Communications,LEO
Starlink-4447,USA,Commercial,SpaceX,Communications,LEO
Starlink-4448,USA,Commercial,SpaceX,Communications,LEO
Starlink-4449,USA,Commercial,SpaceX,Communications,LEO
Starlink-4450,USA,Commercial,SpaceX,Communications,LEO
Starlink-4451,USA,Commercial,SpaceX,Communications,LEO
Starlink-4452,USA,Commercial,SpaceX,Communications,LEO
Starlink-4453,USA,Commercial,SpaceX,Communications,LEO
Starlink-4454,USA,Commercial,SpaceX,Communications,LEO
Starlink-4455,USA,Commercial,SpaceX,Communications,LEO
Starlink-4456,USA,Commercial,SpaceX,Communications,LEO
Starlink-4457,USA,Commercial,SpaceX,Communications,LEO
Starlink-4458,USA,Commercial,SpaceX,Communications,LEO
Starlink-4459,USA,Commercial,SpaceX,Communications,LEO
Starlink-4461,USA,Commercial,SpaceX,Communications,LEO
Starlink-4462 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4463,USA,Commercial,SpaceX,Communications,LEO
Starlink-4464,USA,Commercial,SpaceX,Communications,LEO
Starlink-4465,USA,Commercial,SpaceX,Communications,LEO
Starlink-4466,USA,Commercial,SpaceX,Communications,LEO
Starlink-4467,USA,Commercial,SpaceX,Communications,LEO
Starlink-4468 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4469,USA,Commercial,SpaceX,Communications,LEO
Starlink-4470,USA,Commercial,SpaceX,Communications,LEO
Starlink-4471,USA,Commercial,SpaceX,Communications,LEO
Starlink-4472,USA,Commercial,SpaceX,Communications,LEO
Starlink-4473,USA,Commercial,SpaceX,Communications,LEO
Starlink-4474,USA,Commercial,SpaceX,Communications,LEO
Starlink-4475,USA,Commercial,SpaceX,Communications,LEO
Starlink-4476 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4477,USA,Commercial,SpaceX,Communications,LEO
Starlink-4478,USA,Commercial,SpaceX,Communications,LEO
Starlink-4479 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4480 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4481 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4482,USA,Commercial,SpaceX,Communications,LEO
Starlink-4483,USA,Commercial,SpaceX,Communications,LEO
Starlink-4484 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4485,USA,Commercial,SpaceX,Communications,LEO
Starlink-4486,USA,Commercial,SpaceX,Communications,LEO
Starlink-4487,USA,Commercial,SpaceX,Communications,LEO
Starlink-4488,USA,Commercial,SpaceX,Communications,LEO
Starlink-4489,USA,Commercial,SpaceX,Communications,LEO
Starlink-4490 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4491 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4492 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4493,USA,Commercial,SpaceX,Communications,LEO
Starlink-4494,USA,Commercial,SpaceX,Communications,LEO
Starlink-4495,USA,Commercial,SpaceX,Communications,LEO
Starlink-4496 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4497 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4498 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4499 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4500 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4501,USA,Commercial,SpaceX,Communications,LEO
Starlink-4502,USA,Commercial,SpaceX,Communications,LEO
Starlink-4503,USA,Commercial,SpaceX,Communications,LEO
Starlink-4504,USA,Commercial,SpaceX,Communications,LEO
Starlink-4505,USA,Commercial,SpaceX,Communications,LEO
Starlink-4506,USA,Commercial,SpaceX,Communications,LEO
Starlink-4507 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4508,USA,Commercial,SpaceX,Communications,LEO
Starlink-4509 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4510 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4511,USA,Commercial,SpaceX,Communications,LEO
Starlink-4512 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4513,USA,Commercial,SpaceX,Communications,LEO
Starlink-4514,USA,Commercial,SpaceX,Communications,LEO
Starlink-4515 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4516,USA,Commercial,SpaceX,Communications,LEO
Starlink-4517 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4518,USA,Commercial,SpaceX,Communications,LEO
Starlink-4519 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4520 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4521 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4522 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4523 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4524 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4525 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4526 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4527 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4528 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4529 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4530 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4531 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4532 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4533 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4534 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4535 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4536 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4537 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4538 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4539 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4540 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4541 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4542 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4543 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4544 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4545 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4546 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4547,USA,Commercial,SpaceX,Communications,LEO
Starlink-4548 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4549 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4550,USA,Commercial,SpaceX,Communications,LEO
Starlink-4551,USA,Commercial,SpaceX,Communications,LEO
Starlink-4552 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4553,USA,Commercial,SpaceX,Communications,LEO
Starlink-4554,USA,Commercial,SpaceX,Communications,LEO
Starlink-4555,USA,Commercial,SpaceX,Communications,LEO
Starlink-4556,USA,Commercial,SpaceX,Communications,LEO
Starlink-4557 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4558 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4559,USA,Commercial,SpaceX,Communications,LEO
Starlink-4560,USA,Commercial,SpaceX,Communications,LEO
Starlink-4561,USA,Commercial,SpaceX,Communications,LEO
Starlink-4562,USA,Commercial,SpaceX,Communications,LEO
Starlink-4564,USA,Commercial,SpaceX,Communications,LEO
Starlink-4565,USA,Commercial,SpaceX,Communications,LEO
Starlink-4566,USA,Commercial,SpaceX,Communications,LEO
Starlink-4567 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4568,USA,Commercial,SpaceX,Communications,LEO
Starlink-4569,USA,Commercial,SpaceX,Communications,LEO
Starlink-4571,USA,Commercial,SpaceX,Communications,LEO
Starlink-4572,USA,Commercial,SpaceX,Communications,LEO
Starlink-4573,USA,Commercial,SpaceX,Communications,LEO
Starlink-4574 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4575,USA,Commercial,SpaceX,Communications,LEO
Starlink-4576,USA,Commercial,SpaceX,Communications,LEO
Starlink-4577,USA,Commercial,SpaceX,Communications,LEO
Starlink-4578 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4579,USA,Commercial,SpaceX,Communications,LEO
Starlink-4580,USA,Commercial,SpaceX,Communications,LEO
Starlink-4581,USA,Commercial,SpaceX,Communications,LEO
Starlink-4582,USA,Commercial,SpaceX,Communications,LEO
Starlink-4583,USA,Commercial,SpaceX,Communications,LEO
Starlink-4584,USA,Commercial,SpaceX,Communications,LEO
Starlink-4585,USA,Commercial,SpaceX,Communications,LEO
Starlink-4586,USA,Commercial,SpaceX,Communications,LEO
Starlink-4587,USA,Commercial,SpaceX,Communications,LEO
Starlink-4588,USA,Commercial,SpaceX,Communications,LEO
Starlink-4589 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4590,USA,Commercial,SpaceX,Communications,LEO
Starlink-4591,USA,Commercial,SpaceX,Communications,LEO
Starlink-4592,USA,Commercial,SpaceX,Communications,LEO
Starlink-4593,USA,Commercial,SpaceX,Communications,LEO
Starlink-4594,USA,Commercial,SpaceX,Communications,LEO
Starlink-4595,USA,Commercial,SpaceX,Communications,LEO
Starlink-4596,USA,Commercial,SpaceX,Communications,LEO
Starlink-4597,USA,Commercial,SpaceX,Communications,LEO
Starlink-4598,USA,Commercial,SpaceX,Communications,LEO
Starlink-4599,USA,Commercial,SpaceX,Communications,LEO
Starlink-4600,USA,Commercial,SpaceX,Communications,LEO
Starlink-4601,USA,Commercial,SpaceX,Communications,LEO
Starlink-4602,USA,Commercial,SpaceX,Communications,LEO
Starlink-4603,USA,Commercial,SpaceX,Communications,LEO
Starlink-4604,USA,Commercial,SpaceX,Communications,LEO
Starlink-4605,USA,Commercial,SpaceX,Communications,LEO
Starlink-4606,USA,Commercial,SpaceX,Communications,LEO
Starlink-4607 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4608,USA,Commercial,SpaceX,Communications,LEO
Starlink-4609,USA,Commercial,SpaceX,Communications,LEO
Starlink-4610,USA,Commercial,SpaceX,Communications,LEO
Starlink-4612 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4614 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4615,USA,Commercial,SpaceX,Communications,LEO
Starlink-4616 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4617,USA,Commercial,SpaceX,Communications,LEO
Starlink-4618 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4619 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4620,USA,Commercial,SpaceX,Communications,LEO
Starlink-4621,USA,Commercial,SpaceX,Communications,LEO
Starlink-4622,USA,Commercial,SpaceX,Communications,LEO
Starlink-4623                ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4624,USA,Commercial,SpaceX,Communications,LEO
Starlink-4625,USA,Commercial,SpaceX,Communications,LEO
Starlink-4626,USA,Commercial,SpaceX,Communications,LEO
Starlink-4627,USA,Commercial,SpaceX,Communications,LEO
Starlink-4629 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4630,USA,Commercial,SpaceX,Communications,LEO
Starlink-4631 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4632,USA,Commercial,SpaceX,Communications,LEO
Starlink-4633 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4634 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4635 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4636 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4637 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4639 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4640 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4641 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4642 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4643 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4644 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4645 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4646 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4647,USA,Commercial,SpaceX,Communications,LEO
Starlink-4648,USA,Commercial,SpaceX,Communications,LEO
Starlink-4649 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4650,USA,Commercial,SpaceX,Communications,LEO
Starlink-4651 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4652 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4653,USA,Commercial,SpaceX,Communications,LEO
Starlink-4654,USA,Commercial,SpaceX,Communications,LEO
Starlink-4655,USA,Commercial,SpaceX,Communications,LEO
Starlink-4656 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4658,USA,Commercial,SpaceX,Communications,LEO
Starlink-4659 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4660,USA,Commercial,SpaceX,Communications,LEO
Starlink-4661 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4662 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4663 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4664 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4666 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4667,USA,Commercial,SpaceX,Communications,LEO
Starlink-4668,USA,Commercial,SpaceX,Communications,LEO
Starlink-4669 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4670,USA,Commercial,SpaceX,Communications,LEO
Starlink-4670 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4671,USA,Commercial,SpaceX,Communications,LEO
Starlink-4672,USA,Commercial,SpaceX,Communications,LEO
Starlink-4673,USA,Commercial,SpaceX,Communications,LEO
Starlink-4674,USA,Commercial,SpaceX,Communications,LEO
Starlink-4675,USA,Commercial,SpaceX,Communications,LEO
Starlink-4676,USA,Commercial,SpaceX,Communications,LEO
Starlink-4677,USA,Commercial,SpaceX,Communications,LEO
Starlink-4678 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4679 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4680 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4681,USA,Commercial,SpaceX,Communications,LEO
Starlink-4682,USA,Commercial,SpaceX,Communications,LEO
Starlink-4683,USA,Commercial,SpaceX,Communications,LEO
Starlink-4684,USA,Commercial,SpaceX,Communications,LEO
Starlink-4685,USA,Commercial,SpaceX,Communications,LEO
Starlink-4686,USA,Commercial,SpaceX,Communications,LEO
Starlink-4687 ,USA,Commercial,SpaceX,Communications,LEO
