Name of Satellite,Country of Operator/Owner,Users,Contractor,Purpose,Class of Orbit
Dove 4s-19 (0 Flock 4s-19 242D),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4s-2 (0 Flock 4s-2 2428),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4s-20 (0 Flock 4s-20 2439),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4s-21 (0 Flock 4s-21 245C),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4s-22 (0 Flock 4s-22 421E),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4s-23 (0 Flock 4s-23 245D),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4s-24 (0 Flock 4s-24 2431),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4s-25 (0 Flock 4s-25 2448),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4s-27 (0 Flock 4s-27 2457),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4s-28 (0 Flock 4s-28 2460),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4s-3 (0 Flock 4s-3 2433),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
